CropCalendarDetailScreen: Displays crop details (sowing, harvest, soil, water) by season. | Data From: Hardcoded static data | Data To: - | Validation: -
FarmerAdvisoryScreen: Central hub for agricultural advisories, weather, and mandi prices. | Data From: Static advisory data | Data To: Navigates to CropCalendarDetailScreen and MandiPricesDetailScreen | Validation: -
MandiPricesDetailScreen: Lists market prices for crops with search functionality. | Data From: Hardcoded crop price data | Data To: - | Validation: -
LoginScreen: User authentication entry via mobile number. | Data From: User input (Mobile Number) | Data To: Navigates to OtpScreen | Validation: 10-digit mobile number required
OtpScreen: Verification screen for entering 6-digit OTP. | Data From: User input (OTP) | Data To: Navigates to ProfileSetupScreen | Validation: 6-digit OTP required
ProfileSetupScreen: Initial profile configuration for name and village. | Data From: User input (Name, Village) | Data To: AuthService (local storage), HomeScreen | Validation: Full name and village name cannot be empty
WaitingVerificationScreen: Message screen for pending admin verification. | Data From: AuthService (verification status) | Data To: HomeScreen (if verified), Logout | Validation: -
ChatbotScreen: Interactive AI chat interface for village support. | Data From: User input (text), Pre-defined bot responses | Data To: - | Validation: -
ComplaintCategoryScreen: Selection menu for complaint types (Water, Power, etc.). | Data From: Static category list | Data To: ComplaintFormScreen (category title) | Validation: -
ComplaintFormScreen: Detailed form for submitting complaints with photo and voice support. | Data From: User input (Title, Description, Category), Camera (Photo), Microphone (Audio) | Data To: HiveService (local database), ComplaintSuccessScreen | Validation: Title and description required; photo or audio allowed
ComplaintStatusScreen: Tabbed view of user complaints filtered by status. | Data From: HiveService (local database), connectivityService | Data To: FeedbackScreen | Validation: -
ComplaintSuccessScreen: Confirmation of successful complaint submission with ID. | Data From: Intent data (ID) | Data To: Navigates back to dashboard | Validation: -
EmergencyServicesScreen: Quick access list of local emergency contact numbers. | Data From: Static contact list | Data To: - | Validation: -
FeedbackScreen: Rating and comment submission for resolved complaints. | Data From: User input (Rating, Comments) | Data To: HiveService (local database) | Validation: Rating required
FeaturePlaceholderScreen: Generic placeholder for upcoming features. | Data From: Intent data (Title) | Data To: Navigates back | Validation: -
HomeScreen: Main dashboard with feature grid, notice preview, and active poll. | Data From: AuthService (User info), Static notices, Poll preview | Data To: Navigates to all major features (Complaint, Schemes, Locker, etc.) | Validation: -
DocumentLockerScreen: Personal cloud storage for government IDs with categories. | Data From: HiveService (Documents), ImagePicker (New uploads) | Data To: HiveService (Add/Delete), Local disk storage | Validation: Document title and image selection required
NoticeBoardScreen: List of village announcements with Text-to-Speech support. | Data From: HiveService (Cached notices), voiceService | Data To: NoticeDetailScreen, voiceService.speak | Validation: -
NoticeDetailScreen: Full view of a village announcement with TTS audio. | Data From: NoticeModel, voiceService | Data To: voiceService.speak | Validation: -
NotificationScreen: Inbox for system alerts and activity updates. | Data From: HiveService (Cached notifications) | Data To: HiveService (Mark as read) | Validation: -
LanguageSelectionScreen: App localization picker for English, Hindi, and Gujarati. | Data From: localeProvider, Static language list | Data To: localeProvider.setLocale, OnboardingScreen | Validation: -
OnboardingScreen: Educational slideshow of app features for new users. | Data From: Static onboarding data | Data To: LoginScreen | Validation: -
SplashScreen: App entry and routing logic based on user authentication state. | Data From: LanguageService, AuthService | Data To: LanguageSelectionScreen, LoginScreen, WaitingVerificationScreen, or HomeScreen | Validation: -
PollsScreen: Community voting system for village decisions. | Data From: HiveService (Cached polls) | Data To: HiveService (recordLocalVote) | Validation: -
SchemeCategoryScreen: Browser for government schemes by category (Education, Farming, etc.). | Data From: Static category list | Data To: SchemeListScreen (category) | Validation: -
SchemeDetailScreen: Detailed criteria and benefits for a government scheme with TTS. | Data From: SchemeModel, voiceService | Data To: voiceService.speak, Share/Apply actions | Validation: -
SchemeListScreen: Searchable list of schemes within a specific category. | Data From: HiveService (Cached schemes), voiceService | Data To: SchemeDetailScreen | Validation: -
EditProfileScreen: Profile editor for updating user credentials. | Data From: UserModel, User input | Data To: AuthService.saveUser | Validation: Name and village cannot be empty
SettingsScreen: Configuration menu for language, notifications, and profile. | Data From: AuthService (User info) | Data To: EditProfileScreen, LanguageSelectionScreen, AuthService.logout | Validation: -
